id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate
4, Suggest a quick and easy recipe for dinner that I can make with chicken.
5, Suggest an Indian recipe for lunch that can be made under 30 minutes.
6, What can I make with fish and broccoli?
7, Suggest a recipe for a healthy breakfast that I can make with eggs and toast.
8, What's the best way to make a smoothie using blueberries?
9, Suggest a mexican bowl I can make with chicken and rice. 
10, Suggest an italian dessert that is low in calories and sugar.
11, how can I make a beginner friendly chocolate cake?
12, Provide a chinese recipe that I can make for a family event that can be impressive.
13, How can I make a healthy yet tasty mutton biryani?
14, how to make gluten free dessert easy